Year	Team	No.	Player	Pos	Pos2	Age	Ht	Wt	S	C	Exp	Birth Mth	Birth Day	Birth Year	Birthdate	Summary
2006-07	CBJ	6	Ron Hainsey	D	D	25	75	210	L	-	3	3	24	1981	3/24/81	"9 G, 25 A, 34 P"
2007-08	CBJ	6	Ron Hainsey	D	D	26	75	210	L	-	4	3	24	1981	3/24/81	"8 G, 24 A, 32 P"
2008-09	ATL	6	Ron Hainsey	D	D	27	75	210	L	-	5	3	24	1981	3/24/81	"6 G, 33 A, 39 P"
2009-10	ATL	6	Ron Hainsey	D	D	28	75	210	L	-	6	3	24	1981	3/24/81	"5 G, 21 A, 26 P"
2010-11	ATL	6	Ron Hainsey	D	D	29	75	210	L	-	7	3	24	1981	3/24/81	"3 G, 16 A, 19 P"
2011-12	WPG	6	Ron Hainsey	D	D	30	75	210	L	-	8	3	24	1981	3/24/81	"0 G, 10 A, 10 P"
2012-13	WPG	6	Ron Hainsey	D	D	31	75	210	L	-	9	3	24	1981	3/24/81	"0 G, 13 A, 13 P"
2013-14	CAR	65	Ron Hainsey	D	D	32	75	210	L	-	10	3	24	1981	3/24/81	"4 G, 11 A, 15 P"
2014-15	CAR	65	Ron Hainsey	D	D	33	75	210	L	-	11	3	24	1981	3/24/81	"1 G, 5 A, 6 P"
2015-16	CAR	65	Ron Hainsey	D	D	34	75	205	L	-	12	3	24	1981	3/24/81	"5 G, 14 A, 19 P"
2016-17	PIT	65	Ron Hainsey	D	D	35	75	205	L	-	13	3	24	1981	3/24/81	"0 G, 3 A, 3 P"
2016-17	CAR	65	Ron Hainsey	D	D	35	75	205	L	-	13	3	24	1981	3/24/81	"4 G, 10 A, 14 P"
2017-18	TOR	2	Ron Hainsey	D	D	36	75	205	L	-	14	3	24	1981	3/24/81	"3 G, 14 A, 17 P"
1986-87	PHI	27	Ron Hextall	G	G	22	75	192	-	L	0	5	3	1964	5/3/64	"37-21-6, 3.00 GAA"
1987-88	PHI	27	Ron Hextall	G	G	23	75	192	-	L	1	5	3	1964	5/3/64	"30-22-7, 3.50 GAA"
1988-89	PHI	27	Ron Hextall	G	G	24	75	192	-	L	2	5	3	1964	5/3/64	"30-28-6, 3.23 GAA"
1989-90	PHI	27	Ron Hextall	G	G	25	75	192	-	L	3	5	3	1964	5/3/64	"4-2-1, 4.15 GAA"
1990-91	PHI	27	Ron Hextall	G	G	26	75	192	-	L	4	5	3	1964	5/3/64	"13-16-5, 3.13 GAA"
1991-92	PHI	27	Ron Hextall	G	G	27	75	192	-	L	5	5	3	1964	5/3/64	"16-21-6, 3.40 GAA"
1992-93	QUE	27	Ron Hextall	G	G	28	75	192	-	L	6	5	3	1964	5/3/64	"29-16-5, 3.45 GAA"
1993-94	NYI	72	Ron Hextall	G	G	29	75	192	-	L	7	5	3	1964	5/3/64	"27-26-6, 3.08 GAA"
1994-95	PHI	27	Ron Hextall	G	G	30	75	192	-	L	8	5	3	1964	5/3/64	"17-9-4, 2.89 GAA"
1995-96	PHI	27	Ron Hextall	G	G	31	75	192	-	L	9	5	3	1964	5/3/64	"31-13-7, 2.17 GAA"
1996-97	PHI	27	Ron Hextall	G	G	32	75	192	-	L	10	5	3	1964	5/3/64	"31-16-5, 2.56 GAA"
1997-98	PHI	27	Ron Hextall	G	G	33	75	192	-	L	11	5	3	1964	5/3/64	"21-17-7, 2.17 GAA"
1998-99	PHI	27	Ron Hextall	G	G	34	75	192	-	L	12	5	3	1964	5/3/64	"10-7-4, 2.53 GAA"
1981-82	MNS	23	Ron Meighan	D	D	18	75	195	R	-	0	5	26	1963	5/26/63	"1 G, 1 A, 2 P"
1982-83	PIT	5	Ron Meighan	D	D	19	75	195	R	-	1	5	26	1963	5/26/63	"2 G, 6 A, 8 P"
1974-75	VAN	17	Ron Sedlbauer	LW	F	20	75	195	L	-	0	10	22	1954	10/22/54	"3 G, 4 A, 7 P"
1975-76	VAN	17	Ron Sedlbauer	LW	F	21	75	195	L	-	1	10	22	1954	10/22/54	"19 G, 13 A, 32 P"
1976-77	VAN	17	Ron Sedlbauer	LW	F	22	75	195	L	-	2	10	22	1954	10/22/54	"18 G, 20 A, 38 P"
1977-78	VAN	17	Ron Sedlbauer	LW	F	23	75	195	L	-	3	10	22	1954	10/22/54	"18 G, 12 A, 30 P"
1978-79	VAN	17	Ron Sedlbauer	LW	F	24	75	195	L	-	4	10	22	1954	10/22/54	"40 G, 16 A, 56 P"
1979-80	VAN	17	Ron Sedlbauer	LW	F	25	75	195	L	-	5	10	22	1954	10/22/54	"10 G, 4 A, 14 P"
1979-80	CHI	19	Ron Sedlbauer	LW	F	25	75	195	L	-	5	10	22	1954	10/22/54	"13 G, 10 A, 23 P"
1980-81	TOR	18	Ron Sedlbauer	LW	F	26	75	195	L	-	6	10	22	1954	10/22/54	"10 G, 4 A, 14 P"
1980-81	CHI	19	Ron Sedlbauer	LW	F	26	75	195	L	-	6	10	22	1954	10/22/54	"12 G, 3 A, 15 P"
1970-71	CGS	21	Ron Stackhouse	D	D	21	75	210	R	-	0	8	26	1949	8/26/49	"8 G, 24 A, 32 P"
1971-72	CGS	21	Ron Stackhouse	D	D	22	75	210	R	-	1	8	26	1949	8/26/49	"1 G, 3 A, 4 P"
1971-72	DET	21	Ron Stackhouse	D	D	22	75	210	R	-	1	8	26	1949	8/26/49	"5 G, 25 A, 30 P"
1972-73	DET	21	Ron Stackhouse	D	D	23	75	210	R	-	2	8	26	1949	8/26/49	"5 G, 29 A, 34 P"
1973-74	PIT	3	Ron Stackhouse	D	D	24	75	210	R	-	3	8	26	1949	8/26/49	"4 G, 15 A, 19 P"
1973-74	DET	21	Ron Stackhouse	D	D	24	75	210	R	-	3	8	26	1949	8/26/49	"2 G, 14 A, 16 P"
1974-75	PIT	3	Ron Stackhouse	D	D	25	75	210	R	-	4	8	26	1949	8/26/49	"15 G, 45 A, 60 P"
1975-76	PIT	3	Ron Stackhouse	D	D	26	75	210	R	-	5	8	26	1949	8/26/49	"11 G, 60 A, 71 P"
1976-77	PIT	3	Ron Stackhouse	D	D	27	75	210	R	-	6	8	26	1949	8/26/49	"7 G, 34 A, 41 P"
1977-78	PIT	3	Ron Stackhouse	D	D	28	75	210	R	-	7	8	26	1949	8/26/49	"5 G, 15 A, 20 P"
1978-79	PIT	3	Ron Stackhouse	D	D	29	75	210	R	-	8	8	26	1949	8/26/49	"10 G, 33 A, 43 P"
1979-80	PIT	3	Ron Stackhouse	D	D	30	75	210	R	-	9	8	26	1949	8/26/49	"6 G, 27 A, 33 P"
1980-81	PIT	3	Ron Stackhouse	D	D	31	75	210	R	-	10	8	26	1949	8/26/49	"6 G, 29 A, 35 P"
1981-82	PIT	3	Ron Stackhouse	D	D	32	75	210	R	-	11	8	26	1949	8/26/49	"2 G, 19 A, 21 P"
1986-87	NYR	35	Ron Talakoski	RW	F	24	75	220	R	-	0	6	1	1962	6/1/62	"0 G, 0 A, 0 P"
1987-88	NYR	26	Ron Talakoski	RW	F	25	75	220	R	-	1	6	1	1962	6/1/62	"0 G, 1 A, 1 P"
2000-01	CBJ	44	Rostislav Klesla	D	D	18	75	223	L	-	0	3	21	1982	3/21/82	"2 G, 0 A, 2 P"
2001-02	CBJ	44	Rostislav Klesla	D	D	19	75	223	L	-	1	3	21	1982	3/21/82	"8 G, 8 A, 16 P"
2002-03	CBJ	44	Rostislav Klesla	D	D	20	75	223	L	-	2	3	21	1982	3/21/82	"2 G, 14 A, 16 P"
2003-04	CBJ	44	Rostislav Klesla	D	D	21	75	223	L	-	3	3	21	1982	3/21/82	"2 G, 11 A, 13 P"
2005-06	CBJ	97	Rostislav Klesla	D	D	23	75	223	L	-	4	3	21	1982	3/21/82	"6 G, 13 A, 19 P"
2006-07	CBJ	97	Rostislav Klesla	D	D	24	75	223	L	-	5	3	21	1982	3/21/82	"9 G, 13 A, 22 P"
2007-08	CBJ	97	Rostislav Klesla	D	D	25	75	223	L	-	6	3	21	1982	3/21/82	"6 G, 12 A, 18 P"
2008-09	CBJ	97	Rostislav Klesla	D	D	26	75	223	L	-	7	3	21	1982	3/21/82	"1 G, 8 A, 9 P"
2009-10	CBJ	97	Rostislav Klesla	D	D	27	75	223	L	-	8	3	21	1982	3/21/82	"2 G, 6 A, 8 P"
2010-11	PHX	16	Rostislav Klesla	D	D	28	75	223	L	-	9	3	21	1982	3/21/82	"1 G, 0 A, 1 P"
2010-11	CBJ	97	Rostislav Klesla	D	D	28	75	223	L	-	9	3	21	1982	3/21/82	"3 G, 7 A, 10 P"
2011-12	PHX	16	Rostislav Klesla	D	D	29	75	223	L	-	10	3	21	1982	3/21/82	"3 G, 10 A, 13 P"
2012-13	PHX	16	Rostislav Klesla	D	D	30	75	223	L	-	11	3	21	1982	3/21/82	"2 G, 6 A, 8 P"
2013-14	PHX	16	Rostislav Klesla	D	D	31	75	223	L	-	12	3	21	1982	3/21/82	"1 G, 3 A, 4 P"
1976-77	PIT	7	Russ Anderson	D	D	21	75	210	L	-	0	2	12	1955	2/12/55	"2 G, 11 A, 13 P"
1977-78	PIT	7	Russ Anderson	D	D	22	75	210	L	-	1	2	12	1955	2/12/55	"2 G, 16 A, 18 P"
1978-79	PIT	7	Russ Anderson	D	D	23	75	210	L	-	2	2	12	1955	2/12/55	"3 G, 13 A, 16 P"
1979-80	PIT	7	Russ Anderson	D	D	24	75	210	L	-	3	2	12	1955	2/12/55	"5 G, 22 A, 27 P"
1980-81	PIT	7	Russ Anderson	D	D	25	75	210	L	-	4	2	12	1955	2/12/55	"3 G, 14 A, 17 P"
1981-82	HAR	7	Russ Anderson	D	D	26	75	210	L	-	5	2	12	1955	2/12/55	"1 G, 3 A, 4 P"
1981-82	PIT	7	Russ Anderson	D	D	26	75	210	L	-	5	2	12	1955	2/12/55	"0 G, 1 A, 1 P"
1982-83	HAR	7	Russ Anderson	D	D	27	75	210	L	-	6	2	12	1955	2/12/55	"0 G, 6 A, 6 P"
1983-84	LAK	4	Russ Anderson	D	D	28	75	210	L	-	7	2	12	1955	2/12/55	"5 G, 12 A, 17 P"
1984-85	LAK	4	Russ Anderson	D	D	29	75	210	L	-	8	2	12	1955	2/12/55	"1 G, 1 A, 2 P"
1999-00	DAL	50	Ryan Christie	LW	F	21	75	200	L	-	0	7	3	1978	7/3/78	"0 G, 0 A, 0 P"
2001-02	CGY	39	Ryan Christie	LW	F	23	75	200	L	-	1	7	3	1978	7/3/78	"0 G, 0 A, 0 P"
2011-12	CBJ	19	Ryan Johansen	C	F	19	75	205	R	-	0	7	31	1992	7/31/92	"9 G, 12 A, 21 P"
2012-13	CBJ	19	Ryan Johansen	C	F	20	75	205	R	-	1	7	31	1992	7/31/92	"5 G, 7 A, 12 P"
2013-14	CBJ	19	Ryan Johansen	C	F	21	75	205	R	-	2	7	31	1992	7/31/92	"33 G, 30 A, 63 P"
2014-15	CBJ	19	Ryan Johansen	C	F	22	75	205	R	-	3	7	31	1992	7/31/92	"20 G, 30 A, 50 P"
2015-16	CBJ	19	Ryan Johansen	C	F	23	75	218	R	-	4	7	31	1992	7/31/92	"6 G, 20 A, 26 P"
2015-16	NSH	92	Ryan Johansen	C	F	23	75	218	R	-	4	7	31	1992	7/31/92	"8 G, 26 A, 34 P"
2016-17	NSH	92	Ryan Johansen	C	F	24	75	218	R	-	5	7	31	1992	7/31/92	"14 G, 47 A, 61 P"
2017-18	NSH	92	Ryan Johansen	C	F	25	75	218	R	-	6	7	31	1992	7/31/92	"5 G, 21 A, 26 P"
2015-16	VAN	30	Ryan Miller	G	G	35	75	173	-	L	12	7	17	1980	7/17/80	"17-24-9, 2.70 GAA"
2016-17	VAN	30	Ryan Miller	G	G	36	75	173	-	L	13	7	17	1980	7/17/80	"18-29-6, 2.80 GAA"
2017-18	ANA	30	Ryan Miller	G	G	37	75	173	-	L	14	7	17	1980	7/17/80	"5-2-4, 2.11 GAA"
2006-07	PHI	77	Ryan Parent	D	D	19	75	198	L	-	0	3	17	1987	3/17/87	"0 G, 0 A, 0 P"
2007-08	PHI	77	Ryan Parent	D	D	20	75	198	L	-	1	3	17	1987	3/17/87	"0 G, 0 A, 0 P"
2008-09	PHI	77	Ryan Parent	D	D	21	75	198	L	-	2	3	17	1987	3/17/87	"0 G, 4 A, 4 P"
2009-10	PHI	77	Ryan Parent	D	D	22	75	198	L	-	3	3	17	1987	3/17/87	"1 G, 2 A, 3 P"
2010-11	VAN	20	Ryan Parent	D	D	23	75	198	L	-	4	3	17	1987	3/17/87	"0 G, 0 A, 0 P"
2009-10	COL	29	Ryan Stoa	C	F	22	75	200	L	-	0	4	13	1987	4/13/87	"2 G, 1 A, 3 P"
2010-11	COL	29	Ryan Stoa	C	F	23	75	200	L	-	1	4	13	1987	4/13/87	"2 G, 2 A, 4 P"
2013-14	WSH	29	Ryan Stoa	C	F	26	75	200	L	-	2	4	13	1987	4/13/87	"0 G, 0 A, 0 P"
2001-02	TBL	"17,18"	Ryan Tobler	LW	F	25	75	227	L	-	0	5	13	1976	5/13/76	"0 G, 0 A, 0 P"
2005-06	PIT	"6,19"	Ryan Whitney	D	D	22	75	206	L	-	0	2	19	1983	2/19/83	"6 G, 32 A, 38 P"
2006-07	PIT	19	Ryan Whitney	D	D	23	75	206	L	-	1	2	19	1983	2/19/83	"14 G, 45 A, 59 P"
2007-08	PIT	19	Ryan Whitney	D	D	24	75	206	L	-	2	2	19	1983	2/19/83	"12 G, 28 A, 40 P"
2008-09	ANA	19	Ryan Whitney	D	D	25	75	206	L	-	3	2	19	1983	2/19/83	"0 G, 10 A, 10 P"
2008-09	PIT	19	Ryan Whitney	D	D	25	75	206	L	-	3	2	19	1983	2/19/83	"2 G, 11 A, 13 P"
2009-10	EDM	6	Ryan Whitney	D	D	26	75	206	L	-	4	2	19	1983	2/19/83	"3 G, 8 A, 11 P"
2009-10	ANA	19	Ryan Whitney	D	D	26	75	206	L	-	4	2	19	1983	2/19/83	"4 G, 24 A, 28 P"
2010-11	EDM	6	Ryan Whitney	D	D	27	75	206	L	-	5	2	19	1983	2/19/83	"2 G, 25 A, 27 P"
2011-12	EDM	6	Ryan Whitney	D	D	28	75	206	L	-	6	2	19	1983	2/19/83	"3 G, 17 A, 20 P"
2012-13	EDM	6	Ryan Whitney	D	D	29	75	206	L	-	7	2	19	1983	2/19/83	"4 G, 9 A, 13 P"
2013-14	FLA	6	Ryan Whitney	D	D	30	75	206	L	-	8	2	19	1983	2/19/83	"0 G, 0 A, 0 P"
1998-99	OTT	5	Sami Salo	D	D	24	75	215	R	-	0	9	2	1974	9/2/74	"7 G, 12 A, 19 P"
1999-00	OTT	5	Sami Salo	D	D	25	75	215	R	-	1	9	2	1974	9/2/74	"6 G, 8 A, 14 P"
2000-01	OTT	5	Sami Salo	D	D	26	75	215	R	-	2	9	2	1974	9/2/74	"2 G, 16 A, 18 P"
2001-02	OTT	5	Sami Salo	D	D	27	75	215	R	-	3	9	2	1974	9/2/74	"4 G, 14 A, 18 P"
2002-03	VAN	6	Sami Salo	D	D	28	75	215	R	-	4	9	2	1974	9/2/74	"9 G, 21 A, 30 P"
2003-04	VAN	6	Sami Salo	D	D	29	75	215	R	-	5	9	2	1974	9/2/74	"7 G, 19 A, 26 P"
2005-06	VAN	6	Sami Salo	D	D	31	75	215	R	-	6	9	2	1974	9/2/74	"10 G, 23 A, 33 P"
2006-07	VAN	6	Sami Salo	D	D	32	75	215	R	-	7	9	2	1974	9/2/74	"14 G, 23 A, 37 P"
2007-08	VAN	6	Sami Salo	D	D	33	75	215	R	-	8	9	2	1974	9/2/74	"8 G, 17 A, 25 P"
2008-09	VAN	6	Sami Salo	D	D	34	75	215	R	-	9	9	2	1974	9/2/74	"5 G, 20 A, 25 P"
2009-10	VAN	6	Sami Salo	D	D	35	75	215	R	-	10	9	2	1974	9/2/74	"9 G, 19 A, 28 P"
2010-11	VAN	6	Sami Salo	D	D	36	75	215	R	-	11	9	2	1974	9/2/74	"3 G, 4 A, 7 P"
2011-12	VAN	6	Sami Salo	D	D	37	75	215	R	-	12	9	2	1974	9/2/74	"9 G, 16 A, 25 P"
2012-13	TBL	6	Sami Salo	D	D	38	75	215	R	-	13	9	2	1974	9/2/74	"2 G, 15 A, 17 P"
2013-14	TBL	6	Sami Salo	D	D	39	75	215	R	-	14	9	2	1974	9/2/74	"4 G, 13 A, 17 P"
1992-93	SJS	6	Sandis Ozolinsh	D	D	20	75	215	L	-	0	8	3	1972	8/3/72	"7 G, 16 A, 23 P"
1993-94	SJS	6	Sandis Ozolinsh	D	D	21	75	215	L	-	1	8	3	1972	8/3/72	"26 G, 38 A, 64 P"
1994-95	SJS	6	Sandis Ozolinsh	D	D	22	75	215	L	-	2	8	3	1972	8/3/72	"9 G, 16 A, 25 P"
1995-96	SJS	6	Sandis Ozolinsh	D	D	23	75	215	L	-	3	8	3	1972	8/3/72	"1 G, 3 A, 4 P"
1995-96	COL	8	Sandis Ozolinsh	D	D	23	75	215	L	-	3	8	3	1972	8/3/72	"13 G, 37 A, 50 P"
1996-97	COL	8	Sandis Ozolinsh	D	D	24	75	215	L	-	4	8	3	1972	8/3/72	"23 G, 45 A, 68 P"
1997-98	COL	8	Sandis Ozolinsh	D	D	25	75	215	L	-	5	8	3	1972	8/3/72	"13 G, 38 A, 51 P"
1998-99	COL	8	Sandis Ozolinsh	D	D	26	75	215	L	-	6	8	3	1972	8/3/72	"7 G, 25 A, 32 P"
1999-00	COL	8	Sandis Ozolinsh	D	D	27	75	215	L	-	7	8	3	1972	8/3/72	"16 G, 36 A, 52 P"
2000-01	CAR	8	Sandis Ozolinsh	D	D	28	75	215	L	-	8	8	3	1972	8/3/72	"12 G, 32 A, 44 P"
2001-02	CAR	8	Sandis Ozolinsh	D	D	29	75	215	L	-	9	8	3	1972	8/3/72	"4 G, 19 A, 23 P"
2001-02	FLA	44	Sandis Ozolinsh	D	D	29	75	215	L	-	9	8	3	1972	8/3/72	"10 G, 19 A, 29 P"
2002-03	ANA	8	Sandis Ozolinsh	D	D	30	75	215	L	-	10	8	3	1972	8/3/72	"5 G, 13 A, 18 P"
2002-03	FLA	44	Sandis Ozolinsh	D	D	30	75	215	L	-	10	8	3	1972	8/3/72	"7 G, 19 A, 26 P"
2003-04	ANA	8	Sandis Ozolinsh	D	D	31	75	215	L	-	11	8	3	1972	8/3/72	"5 G, 11 A, 16 P"
2005-06	ANA	8	Sandis Ozolinsh	D	D	33	75	215	L	-	12	8	3	1972	8/3/72	"3 G, 3 A, 6 P"
2005-06	NYR	24	Sandis Ozolinsh	D	D	33	75	215	L	-	12	8	3	1972	8/3/72	"3 G, 11 A, 14 P"
2006-07	NYR	24	Sandis Ozolinsh	D	D	34	75	215	L	-	13	8	3	1972	8/3/72	"0 G, 3 A, 3 P"
2007-08	SJS	24	Sandis Ozolinsh	D	D	35	75	215	L	-	14	8	3	1972	8/3/72	"3 G, 13 A, 16 P"
1993-94	CGY	15	Sandy McCarthy	RW	F	21	75	222	R	-	0	6	15	1972	6/15/72	"5 G, 5 A, 10 P"
1994-95	CGY	15	Sandy McCarthy	RW	F	22	75	222	R	-	1	6	15	1972	6/15/72	"5 G, 3 A, 8 P"
1995-96	CGY	15	Sandy McCarthy	RW	F	23	75	222	R	-	2	6	15	1972	6/15/72	"9 G, 7 A, 16 P"
1996-97	CGY	15	Sandy McCarthy	RW	F	24	75	222	R	-	3	6	15	1972	6/15/72	"3 G, 5 A, 8 P"
1997-98	TBL	10	Sandy McCarthy	RW	F	25	75	222	R	-	4	6	15	1972	6/15/72	"0 G, 5 A, 5 P"
1997-98	CGY	15	Sandy McCarthy	RW	F	25	75	222	R	-	4	6	15	1972	6/15/72	"8 G, 5 A, 13 P"
1998-99	TBL	10	Sandy McCarthy	RW	F	26	75	222	R	-	5	6	15	1972	6/15/72	"5 G, 7 A, 12 P"
1998-99	PHI	21	Sandy McCarthy	RW	F	26	75	222	R	-	5	6	15	1972	6/15/72	"0 G, 1 A, 1 P"
1999-00	CAR	20	Sandy McCarthy	RW	F	27	75	222	R	-	6	6	15	1972	6/15/72	"0 G, 0 A, 0 P"
1999-00	PHI	21	Sandy McCarthy	RW	F	27	75	222	R	-	6	6	15	1972	6/15/72	"6 G, 5 A, 11 P"
2000-01	NYR	10	Sandy McCarthy	RW	F	28	75	222	R	-	7	6	15	1972	6/15/72	"11 G, 10 A, 21 P"
2001-02	NYR	10	Sandy McCarthy	RW	F	29	75	222	R	-	8	6	15	1972	6/15/72	"10 G, 13 A, 23 P"
2002-03	NYR	10	Sandy McCarthy	RW	F	30	75	222	R	-	9	6	15	1972	6/15/72	"6 G, 9 A, 15 P"
2003-04	BOS	10	Sandy McCarthy	RW	F	31	75	222	R	-	10	6	15	1972	6/15/72	"3 G, 1 A, 4 P"
2003-04	NYR	10	Sandy McCarthy	RW	F	31	75	222	R	-	10	6	15	1972	6/15/72	"1 G, 0 A, 1 P"
1982-83	NYR	3	Scot Kleinendorst	D	D	23	75	215	L	-	0	1	16	1960	1/16/60	"2 G, 9 A, 11 P"
1983-84	NYR	3	Scot Kleinendorst	D	D	24	75	215	L	-	1	1	16	1960	1/16/60	"0 G, 2 A, 2 P"
1984-85	HAR	35	Scot Kleinendorst	D	D	25	75	215	L	-	2	1	16	1960	1/16/60	"1 G, 8 A, 9 P"
1985-86	HAR	18	Scot Kleinendorst	D	D	26	75	215	L	-	3	1	16	1960	1/16/60	"2 G, 7 A, 9 P"
1986-87	HAR	18	Scot Kleinendorst	D	D	27	75	215	L	-	4	1	16	1960	1/16/60	"3 G, 9 A, 12 P"
1987-88	HAR	18	Scot Kleinendorst	D	D	28	75	215	L	-	5	1	16	1960	1/16/60	"3 G, 6 A, 9 P"
1988-89	HAR	18	Scot Kleinendorst	D	D	29	75	215	L	-	6	1	16	1960	1/16/60	"0 G, 1 A, 1 P"
1988-89	WSH	29	Scot Kleinendorst	D	D	29	75	215	L	-	6	1	16	1960	1/16/60	"0 G, 1 A, 1 P"
1989-90	WSH	29	Scot Kleinendorst	D	D	30	75	215	L	-	7	1	16	1960	1/16/60	"1 G, 3 A, 4 P"
1979-80	WPG	7	Scott Campbell	D	D	22	75	205	L	-	0	6	22	1957	6/22/57	"3 G, 17 A, 20 P"
1980-81	WPG	7	Scott Campbell	D	D	23	75	205	L	-	1	6	22	1957	6/22/57	"1 G, 4 A, 5 P"
1981-82	STL	4	Scott Campbell	D	D	24	75	205	L	-	2	6	22	1957	6/22/57	"0 G, 0 A, 0 P"
1992-93	HAR	48	Scott Daniels	LW	F	23	75	215	L	-	0	9	19	1969	9/19/69	"0 G, 0 A, 0 P"
1994-95	HAR	17	Scott Daniels	LW	F	25	75	215	L	-	1	9	19	1969	9/19/69	"0 G, 2 A, 2 P"
1995-96	HAR	15	Scott Daniels	LW	F	26	75	215	L	-	2	9	19	1969	9/19/69	"3 G, 4 A, 7 P"
1996-97	PHI	22	Scott Daniels	RW	F	27	75	215	L	-	3	9	19	1969	9/19/69	"5 G, 3 A, 8 P"
1997-98	NJD	22	Scott Daniels	LW	F	28	75	215	L	-	4	9	19	1969	9/19/69	"0 G, 3 A, 3 P"
1998-99	NJD	22	Scott Daniels	LW	F	29	75	215	L	-	5	9	19	1969	9/19/69	"0 G, 0 A, 0 P"
2009-10	TBL	58	Scott Jackson	D	D	22	75	219	L	-	0	2	5	1987	2/5/87	"0 G, 0 A, 0 P"
1990-91	TOR	24	Scott Thornton	C	F	20	75	220	L	-	0	1	9	1971	1/9/71	"1 G, 3 A, 4 P"
1991-92	EDM	17	Scott Thornton	C	F	21	75	220	L	-	1	1	9	1971	1/9/71	"0 G, 1 A, 1 P"
1992-93	EDM	17	Scott Thornton	C	F	22	75	220	L	-	2	1	9	1971	1/9/71	"0 G, 1 A, 1 P"
1993-94	EDM	17	Scott Thornton	C	F	23	75	220	L	-	3	1	9	1971	1/9/71	"4 G, 7 A, 11 P"
1994-95	EDM	17	Scott Thornton	LW	F	24	75	220	L	-	4	1	9	1971	1/9/71	"10 G, 12 A, 22 P"
1995-96	EDM	17	Scott Thornton	C	F	25	75	220	L	-	5	1	9	1971	1/9/71	"9 G, 9 A, 18 P"
1996-97	MTL	24	Scott Thornton	C	F	26	75	220	L	-	6	1	9	1971	1/9/71	"10 G, 10 A, 20 P"
1997-98	MTL	24	Scott Thornton	C	F	27	75	220	L	-	7	1	9	1971	1/9/71	"6 G, 9 A, 15 P"
1998-99	MTL	24	Scott Thornton	C	F	28	75	220	L	-	8	1	9	1971	1/9/71	"7 G, 4 A, 11 P"
1999-00	DAL	17	Scott Thornton	C	F	29	75	220	L	-	9	1	9	1971	1/9/71	"6 G, 3 A, 9 P"
1999-00	MTL	24	Scott Thornton	C	F	29	75	220	L	-	9	1	9	1971	1/9/71	"2 G, 3 A, 5 P"
2000-01	SJS	17	Scott Thornton	LW	F	30	75	220	L	-	10	1	9	1971	1/9/71	"19 G, 17 A, 36 P"
2001-02	SJS	17	Scott Thornton	LW	F	31	75	220	L	-	11	1	9	1971	1/9/71	"26 G, 16 A, 42 P"
2002-03	SJS	17	Scott Thornton	LW	F	32	75	220	L	-	12	1	9	1971	1/9/71	"9 G, 12 A, 21 P"
2003-04	SJS	17	Scott Thornton	LW	F	33	75	220	L	-	13	1	9	1971	1/9/71	"13 G, 14 A, 27 P"
2005-06	SJS	17	Scott Thornton	LW	F	35	75	220	L	-	14	1	9	1971	1/9/71	"10 G, 11 A, 21 P"
2006-07	LAK	27	Scott Thornton	LW	F	36	75	220	L	-	15	1	9	1971	1/9/71	"7 G, 6 A, 13 P"
2007-08	LAK	27	Scott Thornton	LW	F	37	75	220	L	-	16	1	9	1971	1/9/71	"5 G, 3 A, 8 P"
1996-97	EDM	8	Sean Brown	D	D	20	75	215	L	-	0	11	5	1976	11/5/76	"0 G, 0 A, 0 P"
1997-98	EDM	23	Sean Brown	D	D	21	75	215	L	-	1	11	5	1976	11/5/76	"0 G, 1 A, 1 P"
1998-99	EDM	23	Sean Brown	D	D	22	75	215	L	-	2	11	5	1976	11/5/76	"0 G, 7 A, 7 P"
1999-00	EDM	23	Sean Brown	D	D	23	75	215	L	-	3	11	5	1976	11/5/76	"4 G, 8 A, 12 P"
2000-01	EDM	23	Sean Brown	D	D	24	75	215	L	-	4	11	5	1976	11/5/76	"2 G, 3 A, 5 P"
2001-02	BOS	23	Sean Brown	D	D	25	75	215	L	-	5	11	5	1976	11/5/76	"0 G, 1 A, 1 P"
2001-02	EDM	23	Sean Brown	D	D	25	75	215	L	-	5	11	5	1976	11/5/76	"6 G, 4 A, 10 P"
2002-03	BOS	23	Sean Brown	LW	F	26	75	215	L	-	6	11	5	1976	11/5/76	"1 G, 5 A, 6 P"
2003-04	NJD	2	Sean Brown	D	D	27	75	215	L	-	7	11	5	1976	11/5/76	"0 G, 3 A, 3 P"
2005-06	NJD	8	Sean Brown	D	D	29	75	215	L	-	8	11	5	1976	11/5/76	"1 G, 11 A, 12 P"
2005-06	VAN	23	Sean Brown	D	D	29	75	215	L	-	8	11	5	1976	11/5/76	"0 G, 0 A, 0 P"
2012-13	CBJ	43	Sean Collins	C	F	24	75	205	L	-	0	12	29	1988	12/29/88	"0 G, 0 A, 0 P"
2013-14	CBJ	43	Sean Collins	C	F	25	75	205	L	-	1	12	29	1988	12/29/88	"0 G, 1 A, 1 P"
2014-15	CBJ	37	Sean Collins	C	F	26	75	205	L	-	2	12	29	1988	12/29/88	"0 G, 2 A, 2 P"
2015-16	WSH	53	Sean Collins	C	F	27	75	184	L	-	3	12	29	1988	12/29/88	"0 G, 0 A, 0 P"
2011-12	PHI	14	Sean Couturier	C	F	19	75	197	L	-	0	12	7	1992	12/7/92	"13 G, 14 A, 27 P"
